id,question,choices,answer,A,B,C,D,answer_pred,correct
1,Ai là vị vua đầu tiên của nhà Trần?,"{'A': 'Trần Thái Tông', 'B': 'Trần Thánh Tông', 'C': 'Trần Nhân Tông', 'D': 'Trần Anh Tông'}",A,Trần Thái Tông,Trần Thánh Tông,Trần Nhân Tông,Trần Anh Tông,C,0
2,Cuộc khởi nghĩa Lam Sơn do ai lãnh đạo?,"{'A': 'Lê Lợi', 'B': 'Nguyễn Trãi', 'C': 'Trần Hưng Đạo', 'D': 'Quang Trung'}",A,Lê Lợi,Nguyễn Trãi,Trần Hưng Đạo,Quang Trung,C,0
3,"Năm 1010, vua Lý Thái Tổ đã dời đô từ Hoa Lư về đâu?","{'A': 'Thăng Long', 'B': 'Phú Xuân', 'C': 'Tây Đô', 'D': 'Cổ Loa'}",A,Thăng Long,Phú Xuân,Tây Đô,Cổ Loa,C,0
4,Chiến thắng Bạch Đằng năm 938 gắn liền với tên tuổi của vị anh hùng dân tộc nào?,"{'A': 'Ngô Quyền', 'B': 'Lý Thường Kiệt', 'C': 'Trần Hưng Đạo', 'D': 'Lê Hoàn'}",A,Ngô Quyền,Lý Thường Kiệt,Trần Hưng Đạo,Lê Hoàn,C,0
5,"Ai là tác giả của tác phẩm ""Bình Ngô đại cáo""?","{'A': 'Nguyễn Trãi', 'B': 'Nguyễn Du', 'C': 'Hồ Xuân Hương', 'D': 'Bà Huyện Thanh Quan'}",A,Nguyễn Trãi,Nguyễn Du,Hồ Xuân Hương,Bà Huyện Thanh Quan,A,1
6,Triều đại phong kiến cuối cùng của Việt Nam là triều đại nào?,"{'A': 'Nhà Nguyễn', 'B': 'Nhà Mạc', 'C': 'Nhà Tây Sơn', 'D': 'Nhà Hồ'}",A,Nhà Nguyễn,Nhà Mạc,Nhà Tây Sơn,Nhà Hồ,A,1
7,Vị vua nào của nhà Lý đã cho xây dựng Văn Miếu - Quốc Tử Giám?,"{'A': 'Lý Thánh Tông', 'B': 'Lý Nhân Tông', 'C': 'Lý Thái Tông', 'D': 'Lý Anh Tông'}",A,Lý Thánh Tông,Lý Nhân Tông,Lý Thái Tông,Lý Anh Tông,B,0
8,Cuộc khởi nghĩa Hai Bà Trưng diễn ra vào năm nào?,"{'A': '40 - 43', 'B': '248', 'C': '542', 'D': '722'}",A,40 - 43,248,542,722,D,0
9,Ai là người đã lãnh đạo cuộc kháng chiến chống quân Mông - Nguyên lần thứ nhất?,"{'A': 'Trần Thủ Độ', 'B': 'Trần Hưng Đạo', 'C': 'Trần Quang Khải', 'D': 'Trần Nhật Duật'}",A,Trần Thủ Độ,Trần Hưng Đạo,Trần Quang Khải,Trần Nhật Duật,A,1
10,Quốc hiệu của nước ta dưới thời vua Quang Trung là gì?,"{'A': 'Đại Việt', 'B': 'Đại Ngu', 'C': 'Vạn Xuân', 'D': 'Đại Cồ Việt'}",A,Đại Việt,Đại Ngu,Vạn Xuân,Đại Cồ Việt,B,0
11,Ai là người đã sáng lập ra vương triều nhà Mạc?,"{'A': 'Mạc Đăng Dung', 'B': 'Mạc Đăng Doanh', 'C': 'Mạc Kính Điển', 'D': 'Mạc Mậu Hợp'}",A,Mạc Đăng Dung,Mạc Đăng Doanh,Mạc Kính Điển,Mạc Mậu Hợp,C,0
12,Trận Rạch Gầm - Xoài Mút là chiến thắng của nghĩa quân Tây Sơn chống lại quân xâm lược nào?,"{'A': 'Xiêm', 'B': 'Thanh', 'C': 'Mãn Thanh', 'D': 'Pháp'}",A,Xiêm,Thanh,Mãn Thanh,Pháp,B,0
13,Hội nghị Diên Hồng được tổ chức dưới triều đại nào?,"{'A': 'Nhà Trần', 'B': 'Nhà Lý', 'C': 'Nhà Lê', 'D': 'Nhà Nguyễn'}",A,Nhà Trần,Nhà Lý,Nhà Lê,Nhà Nguyễn,C,0
14,Ai là người đã lãnh đạo cuộc khởi nghĩa nông dân Yên Thế?,"{'A': 'Hoàng Hoa Thám', 'B': 'Phan Đình Phùng', 'C': 'Nguyễn Thái Học', 'D': 'Trương Định'}",A,Hoàng Hoa Thám,Phan Đình Phùng,Nguyễn Thái Học,Trương Định,D,0
15,Vị vua nào đã ban hành bộ luật Hồng Đức?,"{'A': 'Lê Thánh Tông', 'B': 'Lê Thái Tông', 'C': 'Lê Nhân Tông', 'D': 'Lê Hiến Tông'}",A,Lê Thánh Tông,Lê Thái Tông,Lê Nhân Tông,Lê Hiến Tông,D,0
16,Nước Vạn Xuân do ai thành lập?,"{'A': 'Lý Bí', 'B': 'Triệu Quang Phục', 'C': 'Mai Thúc Loan', 'D': 'Phùng Hưng'}",A,Lý Bí,Triệu Quang Phục,Mai Thúc Loan,Phùng Hưng,B,0
17,"Ai là người có công dẹp loạn 12 sứ quân, thống nhất đất nước?","{'A': 'Đinh Bộ Lĩnh', 'B': 'Lê Hoàn', 'C': 'Lý Công Uẩn', 'D': 'Ngô Quyền'}",A,Đinh Bộ Lĩnh,Lê Hoàn,Lý Công Uẩn,Ngô Quyền,C,0
18,Tên gọi Thăng Long có nghĩa là gì?,"{'A': 'Rồng bay lên', 'B': 'Rồng vàng', 'C': 'Rồng hạ xuống', 'D': 'Rồng ngủ'}",A,Rồng bay lên,Rồng vàng,Rồng hạ xuống,Rồng ngủ,D,0
19,Vị tướng nào đã có công lớn trong việc đánh tan 20 vạn quân Thanh xâm lược vào năm 1789?,"{'A': 'Quang Trung - Nguyễn Huệ', 'B': 'Nguyễn Ánh', 'C': 'Trần Hưng Đạo', 'D': 'Lê Lợi'}",A,Quang Trung - Nguyễn Huệ,Nguyễn Ánh,Trần Hưng Đạo,Lê Lợi,C,0
20,Ai là người lãnh đạo phong trào Cần Vương chống Pháp?,"{'A': 'Vua Hàm Nghi và Tôn Thất Thuyết', 'B': 'Phan Đình Phùng', 'C': 'Hoàng Hoa Thám', 'D': 'Nguyễn Thái Học'}",A,Vua Hàm Nghi và Tôn Thất Thuyết,Phan Đình Phùng,Hoàng Hoa Thám,Nguyễn Thái Học,B,0
21,Chiến tranh thế giới thứ nhất diễn ra trong khoảng thời gian nào?,"{'A': '1914 - 1918', 'B': '1912 - 1916', 'C': '1916 - 1920', 'D': '1918 - 1922'}",A,1914 - 1918,1912 - 1916,1916 - 1920,1918 - 1922,B,0
22,Sự kiện nào được coi là châm ngòi cho Chiến tranh thế giới thứ nhất?,"{'A': 'Vụ ám sát Thái tử Áo-Hung Franz Ferdinand', 'B': 'Đức tấn công Ba Lan', 'C': 'Nhật Bản tấn công Trân Châu Cảng', 'D': 'Khủng hoảng kinh tế thế giới'}",A,Vụ ám sát Thái tử Áo-Hung Franz Ferdinand,Đức tấn công Ba Lan,Nhật Bản tấn công Trân Châu Cảng,Khủng hoảng kinh tế thế giới,D,0
23,Phe Liên minh Trung tâm trong Chiến tranh thế giới thứ nhất bao gồm các quốc gia nào?,"{'A': 'Đức, Áo-Hung, Ottoman, Bulgaria', 'B': 'Anh, Pháp, Nga, Mỹ', 'C': 'Ý, Nhật Bản, Đức, Áo-Hung', 'D': 'Nga, Anh, Pháp, Serbia'}",A,"Đức, Áo-Hung, Ottoman, Bulgaria","Anh, Pháp, Nga, Mỹ","Ý, Nhật Bản, Đức, Áo-Hung","Nga, Anh, Pháp, Serbia",C,0
24,Chiến tranh thế giới thứ hai bắt đầu bằng sự kiện nào?,"{'A': 'Đức xâm lược Ba Lan', 'B': 'Nhật tấn công Mãn Châu', 'C': 'Ý xâm lược Ethiopia', 'D': 'Nội chiến Tây Ban Nha'}",A,Đức xâm lược Ba Lan,Nhật tấn công Mãn Châu,Ý xâm lược Ethiopia,Nội chiến Tây Ban Nha,D,0
25,Phe Trục trong Chiến tranh thế giới thứ hai gồm những nước nào?,"{'A': 'Đức, Ý, Nhật', 'B': 'Anh, Pháp, Liên Xô, Mỹ', 'C': 'Đức, Áo, Hungary', 'D': 'Ý, Nhật, Tây Ban Nha'}",A,"Đức, Ý, Nhật","Anh, Pháp, Liên Xô, Mỹ","Đức, Áo, Hungary","Ý, Nhật, Tây Ban Nha",A,1
26,Trận Stalingrad được coi là bước ngoặt của Chiến tranh thế giới thứ hai ở mặt trận nào?,"{'A': 'Mặt trận phía Đông', 'B': 'Mặt trận phía Tây', 'C': 'Mặt trận Bắc Phi', 'D': 'Mặt trận Thái Bình Dương'}",A,Mặt trận phía Đông,Mặt trận phía Tây,Mặt trận Bắc Phi,Mặt trận Thái Bình Dương,A,1
27,Sự kiện nào đánh dấu sự kết thúc của Chiến tranh thế giới thứ hai ở châu Âu?,"{'A': 'Đức quốc xã đầu hàng vô điều kiện', 'B': 'Trận Berlin', 'C': 'Hội nghị Yalta', 'D': 'Quân Đồng minh đổ bộ lên Normandy'}",A,Đức quốc xã đầu hàng vô điều kiện,Trận Berlin,Hội nghị Yalta,Quân Đồng minh đổ bộ lên Normandy,A,1
28,Thành phố nào của Nhật Bản đã bị Mỹ ném bom nguyên tử vào tháng 8 năm 1945?,"{'A': 'Hiroshima và Nagasaki', 'B': 'Tokyo và Kyoto', 'C': 'Osaka và Kobe', 'D': 'Yokohama và Nagoya'}",A,Hiroshima và Nagasaki,Tokyo và Kyoto,Osaka và Kobe,Yokohama và Nagoya,A,1
29,Tổ chức quốc tế nào được thành lập sau Chiến tranh thế giới thứ hai nhằm duy trì hòa bình và an ninh thế giới?,"{'A': 'Liên Hợp Quốc', 'B': 'Hội Quốc Liên', 'C': 'NATO', 'D': 'Khối Warszawa'}",A,Liên Hợp Quốc,Hội Quốc Liên,NATO,Khối Warszawa,B,0
30,Chiến tranh Lạnh là cuộc đối đầu giữa hai khối nào?,"{'A': 'Khối tư bản chủ nghĩa do Mỹ đứng đầu và khối xã hội chủ nghĩa do Liên Xô đứng đầu', 'B': 'Khối Đồng minh và khối Trục', 'C': 'Khối NATO và khối SEATO', 'D': 'Các nước đế quốc và các nước thuộc địa'}",A,Khối tư bản chủ nghĩa do Mỹ đứng đầu và khối xã hội chủ nghĩa do Liên Xô đứng đầu,Khối Đồng minh và khối Trục,Khối NATO và khối SEATO,Các nước đế quốc và các nước thuộc địa,D,0
31,Đế quốc La Mã được thành lập vào năm nào?,"{'A': '27 TCN', 'B': '509 TCN', 'C': '44 TCN', 'D': '14 SCN'}",A,27 TCN,509 TCN,44 TCN,14 SCN,B,0
32,Ai là vị hoàng đế đầu tiên của Đế quốc La Mã?,"{'A': 'Augustus', 'B': 'Julius Caesar', 'C': 'Nero', 'D': 'Constantine'}",A,Augustus,Julius Caesar,Nero,Constantine,C,0
33,Công trình kiến trúc nổi tiếng nào của La Mã cổ đại được sử dụng cho các cuộc giác đấu?,"{'A': 'Đấu trường Colosseum', 'B': 'Đền Pantheon', 'C': 'Khải hoàn môn Constantine', 'D': 'Quảng trường La Mã'}",A,Đấu trường Colosseum,Đền Pantheon,Khải hoàn môn Constantine,Quảng trường La Mã,D,0
34,Nền văn minh Ai Cập cổ đại phát triển rực rỡ bên dòng sông nào?,"{'A': 'Sông Nile', 'B': 'Sông Tigris', 'C': 'Sông Euphrates', 'D': 'Sông Ấn'}",A,Sông Nile,Sông Tigris,Sông Euphrates,Sông Ấn,D,0
35,Chữ viết của người Ai Cập cổ đại được gọi là gì?,"{'A': 'Chữ tượng hình', 'B': 'Chữ hình nêm', 'C': 'Chữ cái alphabet', 'D': 'Chữ Phạn'}",A,Chữ tượng hình,Chữ hình nêm,Chữ cái alphabet,Chữ Phạn,A,1
36,Kim tự tháp Giza được xây dựng để làm gì?,"{'A': 'Lăng mộ của các pharaoh', 'B': 'Đền thờ các vị thần', 'C': 'Đài quan sát thiên văn', 'D': 'Cung điện của vua'}",A,Lăng mộ của các pharaoh,Đền thờ các vị thần,Đài quan sát thiên văn,Cung điện của vua,A,1
37,Nền dân chủ đầu tiên trên thế giới ra đời ở thành bang nào của Hy Lạp cổ đại?,"{'A': 'Athens', 'B': 'Sparta', 'C': 'Corinth', 'D': 'Thebes'}",A,Athens,Sparta,Corinth,Thebes,B,0
38,"Ai được coi là ""cha đẻ của lịch sử học""?","{'A': 'Herodotus', 'B': 'Thucydides', 'C': 'Socrates', 'D': 'Plato'}",A,Herodotus,Thucydides,Socrates,Plato,B,0
39,Thế vận hội Olympic cổ đại được tổ chức để tôn vinh vị thần nào?,"{'A': 'Thần Zeus', 'B': 'Thần Apollo', 'C': 'Thần Athena', 'D': 'Thần Poseidon'}",A,Thần Zeus,Thần Apollo,Thần Athena,Thần Poseidon,B,0
40,Cuộc cách mạng công nghiệp lần thứ nhất bắt đầu ở quốc gia nào?,"{'A': 'Anh', 'B': 'Pháp', 'C': 'Đức', 'D': 'Mỹ'}",A,Anh,Pháp,Đức,Mỹ,C,0
41,Phát minh quan trọng nào đã mở đầu cho cuộc cách mạng công nghiệp lần thứ nhất?,"{'A': 'Máy hơi nước', 'B': 'Động cơ đốt trong', 'C': 'Điện thoại', 'D': 'Bóng đèn điện'}",A,Máy hơi nước,Động cơ đốt trong,Điện thoại,Bóng đèn điện,B,0
42,Cách mạng tháng Mười Nga năm 1917 đã lật đổ chế độ nào?,"{'A': 'Chế độ Nga hoàng', 'B': 'Chính phủ lâm thời tư sản', 'C': 'Chế độ Cộng hòa', 'D': 'Chế độ quân chủ lập hiến'}",A,Chế độ Nga hoàng,Chính phủ lâm thời tư sản,Chế độ Cộng hòa,Chế độ quân chủ lập hiến,A,1
43,Ai là người lãnh đạo cuộc Cách mạng tháng Mười Nga?,"{'A': 'V.I. Lenin', 'B': 'Joseph Stalin', 'C': 'Leon Trotsky', 'D': 'Karl Marx'}",A,V.I. Lenin,Joseph Stalin,Leon Trotsky,Karl Marx,A,1
44,Bức tường Berlin sụp đổ vào năm nào?,"{'A': '1989', 'B': '1990', 'C': '1991', 'D': '1988'}",A,1989,1990,1991,1988,C,0
45,Ai là Tổng thống da màu đầu tiên của Nam Phi?,"{'A': 'Nelson Mandela', 'B': 'Martin Luther King Jr.', 'C': 'Barack Obama', 'D': 'Kofi Annan'}",A,Nelson Mandela,Martin Luther King Jr.,Barack Obama,Kofi Annan,A,1
46,Cuộc chiến tranh Việt Nam kết thúc vào năm nào?,"{'A': '1975', 'B': '1973', 'C': '1968', 'D': '1954'}",A,1975,1973,1968,1954,A,1
47,Hiệp định Genève về chấm dứt chiến tranh ở Đông Dương được ký kết vào năm nào?,"{'A': '1954', 'B': '1955', 'C': '1956', 'D': '1953'}",A,1954,1955,1956,1953,B,0
48,Ai là người đầu tiên đặt chân lên Mặt Trăng?,"{'A': 'Neil Armstrong', 'B': 'Yuri Gagarin', 'C': 'Buzz Aldrin', 'D': 'Michael Collins'}",A,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Michael Collins,A,1
49,Con đường tơ lụa là tuyến đường thương mại nổi tiếng nối liền hai châu lục nào?,"{'A': 'Châu Á và Châu Âu', 'B': 'Châu Á và Châu Phi', 'C': 'Châu Âu và Châu Phi', 'D': 'Châu Á và Châu Mỹ'}",A,Châu Á và Châu Âu,Châu Á và Châu Phi,Châu Âu và Châu Phi,Châu Á và Châu Mỹ,C,0
50,Thành Cổ Loa gắn liền với câu chuyện truyền thuyết nào?,"{'A': 'An Dương Vương và Mỵ Châu - Trọng Thủy', 'B': 'Sơn Tinh - Thủy Tinh', 'C': 'Bánh chưng, bánh giầy', 'D': 'Sự tích Hồ Gươm'}",A,An Dương Vương và Mỵ Châu - Trọng Thủy,Sơn Tinh - Thủy Tinh,"Bánh chưng, bánh giầy",Sự tích Hồ Gươm,A,1
51,Phong trào Đông Du do ai khởi xướng?,"{'A': 'Phan Bội Châu', 'B': 'Phan Châu Trinh', 'C': 'Lương Văn Can', 'D': 'Huỳnh Thúc Kháng'}",A,Phan Bội Châu,Phan Châu Trinh,Lương Văn Can,Huỳnh Thúc Kháng,A,1
52,Tổ chức Việt Nam Quốc dân đảng do ai sáng lập?,"{'A': 'Nguyễn Thái Học', 'B': 'Phan Bội Châu', 'C': 'Trần Phú', 'D': 'Hồ Chí Minh'}",A,Nguyễn Thái Học,Phan Bội Châu,Trần Phú,Hồ Chí Minh,A,1
53,Cách mạng tháng Tám năm 1945 thành công đã dẫn đến sự ra đời của nhà nước nào?,"{'A': 'Việt Nam Dân chủ Cộng hòa', 'B': 'Quốc gia Việt Nam', 'C': 'Cộng hòa Miền Nam Việt Nam', 'D': 'Cộng hòa Xã hội chủ nghĩa Việt Nam'}",A,Việt Nam Dân chủ Cộng hòa,Quốc gia Việt Nam,Cộng hòa Miền Nam Việt Nam,Cộng hòa Xã hội chủ nghĩa Việt Nam,A,1
54,Chủ tịch Hồ Chí Minh đọc Tuyên ngôn Độc lập tại đâu?,"{'A': 'Quảng trường Ba Đình, Hà Nội', 'B': 'Bến Nhà Rồng, Sài Gòn', 'C': 'Cây đa Tân Trào, Tuyên Quang', 'D': 'Pác Bó, Cao Bằng'}",A,"Quảng trường Ba Đình, Hà Nội","Bến Nhà Rồng, Sài Gòn","Cây đa Tân Trào, Tuyên Quang","Pác Bó, Cao Bằng",C,0
55,Chiến dịch Điện Biên Phủ diễn ra vào năm nào?,"{'A': '1954', 'B': '1953', 'C': '1952', 'D': '1951'}",A,1954,1953,1952,1951,D,0
56,Đường mòn Hồ Chí Minh trên biển còn có tên gọi khác là gì?,"{'A': 'Đường số 0', 'B': 'Con đường tơ lụa trên biển', 'C': 'Con đường gốm sứ', 'D': 'Con đường không số'}",D,Đường số 0,Con đường tơ lụa trên biển,Con đường gốm sứ,Con đường không số,B,0
57,"Hiệp định Paris về chấm dứt chiến tranh, lập lại hòa bình ở Việt Nam được ký kết vào năm nào?","{'A': '1973', 'B': '1972', 'C': '1974', 'D': '1975'}",A,1973,1972,1974,1975,D,0
58,"Chiến dịch Hồ Chí Minh lịch sử giải phóng hoàn toàn miền Nam, thống nhất đất nước vào ngày tháng năm nào?","{'A': '30/04/1975', 'B': '02/09/1945', 'C': '07/05/1954', 'D': '27/01/1973'}",A,30/04/1975,02/09/1945,07/05/1954,27/01/1973,D,0
59,Ai là nữ vương đầu tiên trong lịch sử Việt Nam?,"{'A': 'Trưng Trắc', 'B': 'Trưng Nhị', 'C': 'Dương Vân Nga', 'D': 'Ỷ Lan'}",A,Trưng Trắc,Trưng Nhị,Dương Vân Nga,Ỷ Lan,B,0
60,Vị vua nào của triều Nguyễn đã đặt quốc hiệu nước ta là Việt Nam?,"{'A': 'Gia Long', 'B': 'Minh Mạng', 'C': 'Tự Đức', 'D': 'Thành Thái'}",A,Gia Long,Minh Mạng,Tự Đức,Thành Thái,C,0
61,Trận Chi Lăng - Xương Giang là chiến thắng quyết định của cuộc khởi nghĩa Lam Sơn chống lại quân xâm lược nào?,"{'A': 'Quân Minh', 'B': 'Quân Thanh', 'C': 'Quân Mông - Nguyên', 'D': 'Quân Tống'}",A,Quân Minh,Quân Thanh,Quân Mông - Nguyên,Quân Tống,C,0
62,Ai là người đã chỉ huy cuộc kháng chiến chống quân Tống lần thứ hai (1075 - 1077)?,"{'A': 'Lý Thường Kiệt', 'B': 'Tôn Đản', 'C': 'Lê Phụng Hiểu', 'D': 'Thân Cảnh Phúc'}",A,Lý Thường Kiệt,Tôn Đản,Lê Phụng Hiểu,Thân Cảnh Phúc,B,0
63,"Bài thơ ""Nam quốc sơn hà"" được coi là bản tuyên ngôn độc lập đầu tiên của nước ta. Bài thơ này gắn liền với sự kiện nào?","{'A': 'Cuộc kháng chiến chống quân Tống lần thứ hai', 'B': 'Cuộc kháng chiến chống quân Mông - Nguyên', 'C': 'Cuộc khởi nghĩa Lam Sơn', 'D': 'Cuộc kháng chiến chống quân Thanh'}",A,Cuộc kháng chiến chống quân Tống lần thứ hai,Cuộc kháng chiến chống quân Mông - Nguyên,Cuộc khởi nghĩa Lam Sơn,Cuộc kháng chiến chống quân Thanh,C,0
64,"Ai là tác giả của bộ ""Đại Việt sử ký toàn thư""?","{'A': 'Ngô Sĩ Liên', 'B': 'Lê Văn Hưu', 'C': 'Phan Phu Tiên', 'D': 'Sử Hy Nhan'}",A,Ngô Sĩ Liên,Lê Văn Hưu,Phan Phu Tiên,Sử Hy Nhan,C,0
65,Nhà Hồ tồn tại trong bao nhiêu năm?,"{'A': '7 năm', 'B': '10 năm', 'C': '15 năm', 'D': '20 năm'}",A,7 năm,10 năm,15 năm,20 năm,A,1
66,Phong trào Duy Tân do ai khởi xướng?,"{'A': 'Phan Châu Trinh', 'B': 'Phan Bội Châu', 'C': 'Lương Văn Can', 'D': 'Huỳnh Thúc Kháng'}",A,Phan Châu Trinh,Phan Bội Châu,Lương Văn Can,Huỳnh Thúc Kháng,B,0
67,Sự kiện nào đánh dấu bước ngoặt trong cuộc đời hoạt động cách mạng của Nguyễn Ái Quốc?,"{'A': 'Đọc ""Sơ thảo lần thứ nhất những luận cương về vấn đề dân tộc và vấn đề thuộc địa"" của Lênin', 'B': 'Tham gia sáng lập Đảng Cộng sản Pháp', 'C': 'Gửi bản ""Yêu sách của nhân dân An Nam"" tới Hội nghị Versailles', 'D': 'Thành lập Hội Việt Nam Cách mạng Thanh niên'}",A,"Đọc ""Sơ thảo lần thứ nhất những luận cương về vấn đề dân tộc và vấn đề thuộc địa"" của Lênin",Tham gia sáng lập Đảng Cộng sản Pháp,"Gửi bản ""Yêu sách của nhân dân An Nam"" tới Hội nghị Versailles",Thành lập Hội Việt Nam Cách mạng Thanh niên,A,1
68,Đảng Cộng sản Việt Nam được thành lập vào ngày tháng năm nào?,"{'A': '03/02/1930', 'B': '03/02/1929', 'C': '02/03/1930', 'D': '02/03/1929'}",A,03/02/1930,03/02/1929,02/03/1930,02/03/1929,C,0
69,Phong trào Xô viết Nghệ - Tĩnh diễn ra trong khoảng thời gian nào?,"{'A': '1930 - 1931', 'B': '1936 - 1939', 'C': '1939 - 1945', 'D': '1946 - 1954'}",A,1930 - 1931,1936 - 1939,1939 - 1945,1946 - 1954,D,0
70,Chiến thắng Việt Bắc thu - đông năm 1947 đã làm phá sản kế hoạch chiến tranh nào của thực dân Pháp?,"{'A': 'Kế hoạch ""đánh nhanh thắng nhanh""', 'B': 'Kế hoạch Rơve', 'C': 'Kế hoạch Đờ Lát đơ Tátxinhi', 'D': 'Kế hoạch Nava'}",A,"Kế hoạch ""đánh nhanh thắng nhanh""",Kế hoạch Rơve,Kế hoạch Đờ Lát đơ Tátxinhi,Kế hoạch Nava,C,0
71,"Phong trào ""Đồng khởi"" ở miền Nam diễn ra mạnh mẽ nhất vào năm nào?","{'A': '1960', 'B': '1959', 'C': '1961', 'D': '1962'}",A,1960,1959,1961,1962,A,1
72,Cuộc Tổng tiến công và nổi dậy Xuân Mậu Thân 1968 diễn ra vào dịp nào?,"{'A': 'Tết Nguyên đán', 'B': 'Quốc khánh 2/9', 'C': 'Ngày sinh nhật Bác 19/5', 'D': 'Lễ Giáng sinh'}",A,Tết Nguyên đán,Quốc khánh 2/9,Ngày sinh nhật Bác 19/5,Lễ Giáng sinh,A,1
73,"Chiến thắng ""Điện Biên Phủ trên không"" là thắng lợi của quân và dân ta trong việc chống lại cuộc tập kích đường không bằng máy bay B-52 của Mỹ vào đâu?","{'A': 'Hà Nội, Hải Phòng và một số thành phố khác ở miền Bắc', 'B': 'Sài Gòn', 'C': 'Cứ điểm Điện Biên Phủ', 'D': 'Đường mòn Hồ Chí Minh'}",A,"Hà Nội, Hải Phòng và một số thành phố khác ở miền Bắc",Sài Gòn,Cứ điểm Điện Biên Phủ,Đường mòn Hồ Chí Minh,D,0
74,Nhà nước Âu Lạc của An Dương Vương tồn tại trong khoảng thời gian nào?,"{'A': '257 TCN - 208 TCN', 'B': '2879 TCN - 258 TCN', 'C': '40 - 43', 'D': '544 - 602'}",A,257 TCN - 208 TCN,2879 TCN - 258 TCN,40 - 43,544 - 602,B,0
75,Vị vua nào đã đặt tên nước là Đại Cồ Việt?,"{'A': 'Đinh Tiên Hoàng', 'B': 'Lê Đại Hành', 'C': 'Lý Thái Tổ', 'D': 'Ngô Quyền'}",A,Đinh Tiên Hoàng,Lê Đại Hành,Lý Thái Tổ,Ngô Quyền,B,0
76,Ai là người đã lãnh đạo nhân dân ta kháng chiến chống quân Nam Hán lần thứ nhất?,"{'A': 'Dương Đình Nghệ', 'B': 'Khúc Thừa Dụ', 'C': 'Ngô Quyền', 'D': 'Kiều Công Tiễn'}",A,Dương Đình Nghệ,Khúc Thừa Dụ,Ngô Quyền,Kiều Công Tiễn,A,1
77,Thành nhà Hồ (Tây Đô) được xây dựng dưới triều đại nào?,"{'A': 'Nhà Hồ', 'B': 'Nhà Trần', 'C': 'Nhà Lê', 'D': 'Nhà Nguyễn'}",A,Nhà Hồ,Nhà Trần,Nhà Lê,Nhà Nguyễn,A,1
78,Cuộc khởi nghĩa của Bà Triệu (Triệu Thị Trinh) diễn ra vào năm nào?,"{'A': '248', 'B': '40', 'C': '542', 'D': '722'}",A,248,40,542,722,D,0
79,Vị trạng nguyên đầu tiên của nước ta là ai?,"{'A': 'Lê Văn Thịnh', 'B': 'Nguyễn Hiền', 'C': 'Mạc Đĩnh Chi', 'D': 'Lương Thế Vinh'}",A,Lê Văn Thịnh,Nguyễn Hiền,Mạc Đĩnh Chi,Lương Thế Vinh,C,0
80,Ai là người đã sáng lập ra Thiền phái Trúc Lâm Yên Tử?,"{'A': 'Trần Nhân Tông', 'B': 'Trần Thái Tông', 'C': 'Tuệ Trung Thượng Sĩ', 'D': 'Huyền Quang'}",A,Trần Nhân Tông,Trần Thái Tông,Tuệ Trung Thượng Sĩ,Huyền Quang,C,0
81,"Tác phẩm ""Hịch tướng sĩ"" do ai sáng tác?","{'A': 'Trần Hưng Đạo', 'B': 'Lý Thường Kiệt', 'C': 'Nguyễn Trãi', 'D': 'Quang Trung'}",A,Trần Hưng Đạo,Lý Thường Kiệt,Nguyễn Trãi,Quang Trung,A,1
82,Cuộc chiến tranh Trịnh - Nguyễn phân tranh kéo dài bao nhiêu năm?,"{'A': 'Gần 200 năm', 'B': 'Hơn 100 năm', 'C': 'Khoảng 50 năm', 'D': 'Trên 300 năm'}",A,Gần 200 năm,Hơn 100 năm,Khoảng 50 năm,Trên 300 năm,D,0
83,"Ai là người được mệnh danh là ""Lưỡng quốc Trạng nguyên""?","{'A': 'Mạc Đĩnh Chi', 'B': 'Nguyễn Bỉnh Khiêm', 'C': 'Lê Quý Đôn', 'D': 'Nguyễn Trực'}",A,Mạc Đĩnh Chi,Nguyễn Bỉnh Khiêm,Lê Quý Đôn,Nguyễn Trực,C,0
84,"Phong trào ""Thơ mới"" ra đời trong giai đoạn lịch sử nào?","{'A': '1932 - 1945', 'B': '1900 - 1930', 'C': '1945 - 1954', 'D': '1954 - 1975'}",A,1932 - 1945,1900 - 1930,1945 - 1954,1954 - 1975,D,0
85,"Tổ chức ""Tự lực văn đoàn"" do ai sáng lập?","{'A': 'Nhất Linh (Nguyễn Tường Tam)', 'B': 'Khái Hưng (Trần Khánh Giư)', 'C': 'Thạch Lam (Nguyễn Tường Lân)', 'D': 'Hoàng Đạo (Nguyễn Tường Long)'}",A,Nhất Linh (Nguyễn Tường Tam),Khái Hưng (Trần Khánh Giư),Thạch Lam (Nguyễn Tường Lân),Hoàng Đạo (Nguyễn Tường Long),C,0
86,"Ai là tác giả của tiểu thuyết ""Số đỏ""?","{'A': 'Vũ Trọng Phụng', 'B': 'Ngô Tất Tố', 'C': 'Nam Cao', 'D': 'Nguyễn Công Hoan'}",A,Vũ Trọng Phụng,Ngô Tất Tố,Nam Cao,Nguyễn Công Hoan,A,1
87,Cuộc cải cách của vua Minh Mạng tập trung vào lĩnh vực nào là chủ yếu?,"{'A': 'Hành chính', 'B': 'Kinh tế', 'C': 'Quân sự', 'D': 'Giáo dục'}",A,Hành chính,Kinh tế,Quân sự,Giáo dục,D,0
